CodiceAmministrativo;Sezione;IdentificativoSoggetto;TipoSoggetto;IdentificativoImmobile;TipoImmobile;CodiceDiritto;TitoloNonCodificatoIta;TitoloNonCodificatoTed;QuotaNumeratore;QuotaDenominatore;Regime;SoggettoDiRiferimento;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;Partita;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;IdentificativoTitolarita;
M113;;214;P;663656;F;2 ;;;1;2; ;0;30101972;D;001759;001;1972;24051995;1000477;;;;;;;240290;;1242265;
M113;;2137;P;661234;F;1 ;;;0;0; ;0;21111989;D;000819;001;1990;24051995;1000461;;;;;;;240237;;1242135;
M113;;4243;P;662312;F;2 ;;;1;2; ;0;01010001;I;  0000;000;2000;01011992;0000274;;;;;;;220;;595201;
M113;;4243;P;662302;F;2 ;;;1;2; ;0;01010001;I;  0000;000;2000;01011992;0000274;;;;;;;220;;594975;
M113;;6590;P;663270;F;2 ;;;1;2;C;0;21101994;D;002790;001;1994;18051995;1000375;;;;;;;238832;;1238793;
M113;;6590;P;663256;F;2 ;;;1;2;C;0;21101994;D;002790;001;1994;18051995;1000375;;;;;;;238832;;1238796;
M113;;7258;P;663131;F;2 ;;;1;4; ;;01010001;A;001257;001;1992;17031993;0000687;;;;;;;54083;;709420;
M113;;7260;P;661760;F;1 ;;;1;2;C;169003;01010001;I;  0000;000;2000;01011992;0000611;;;;;;;220;;596889;
M113;;7260;P;661759;F;2 ;;;1;4; ;;01011992;D;002834;001;2014;18072014;;;;;;;;1241099;;5150903;
M113;;17979;P;662442;F;1 ;;;0;0; ;0;15071974;D;000591;001;1976;07121995;1000610;;;;;;;297207;;1392817;
M113;;17979;P;662458;F;1 ;;;0;0; ;0;15071974;D;000591;001;1976;07121995;1000610;;;;;;;297207;;1392818;
M113;;17979;P;662457;F;1 ;;;0;0; ;0;15071974;D;000591;001;1976;07121995;1000610;;;;;;;297207;;1392819;
M113;;18282;P;662444;F;1 ;;;0;0; ;0;26061974;D;000593;001;1976;07121995;1000612;;;;;;;297216;;1392836;
M113;;18282;P;662454;F;1 ;;;0;0; ;0;26061974;D;000593;001;1976;07121995;1000612;;;;;;;297216;;1392835;
M113;;18315;P;662334;F;1 ;;;1000;1000; ;0;01010001;I;  0000;000;2000;01011992;0000434;;;;;;;220;;596457;
M113;;23412;P;661461;F;32 ;;;0;0; ;0;22051995;V;001393;001;1995;22051995;0000523;;;;;;;239745;;1241106;
M113;;23412;P;661456;F;32 ;;;0;0; ;0;29051995;V;001442;001;1995;29051995;0000523;;;;;;;240893;;1243608;
M113;;23591;P;661747;F;1 ;;;0;0; ;0;09021989;V;000503;000;1989;02051995;0000050;;;;;;;235059;;1231315;
M113;;30718;P;663281;F;2 ;;;1;2;C;0;28041995;D;001477;001;1995;02061995;1000511;;;;;;;242227;;1246806;
M113;;30718;P;663266;F;2 ;;;1;2;C;0;28041995;D;001477;001;1995;02061995;1000511;;;;;;;242227;;1246807;
M113;;51181;P;662503;F;2 ;;;1;2; ;0;12091975;D;001936;001;1978;25031998;1000842;;;;;;;427756;;2196468;
M113;;51181;P;662515;F;2 ;;;1;2; ;0;12091975;D;001936;001;1978;25031998;1000842;;;;;;;427756;;2196466;
M113;;55070;P;661775;F;2 ;;;1;2;C;0;08011987;D;001787;001;1988;18051995;1000384;;;;;;;238895;;1238942;
M113;;57319;P;663266;F;2 ;;;1;2;C;0;28041995;D;001477;001;1995;02061995;1000511;;;;;;;242227;;1246808;
M113;;57319;P;663281;F;2 ;;;1;2;C;0;28041995;D;001477;001;1995;02061995;1000511;;;;;;;242227;;1246805;
M113;;66223;P;662308;F;1 ;;;1000;1000; ;0;01010001;I;  0000;000;2000;01011992;0000275;;;;;;;220;;595034;
M113;;66223;P;662303;F;1 ;;;1000;1000; ;0;01010001;I;  0000;000;2000;01011992;0000275;;;;;;;220;;595035;
M113;;66227;P;662515;F;2 ;;;1;2; ;0;12091975;D;001936;001;1978;25031998;1000842;;;;;;;427756;;2196465;
M113;;66227;P;662503;F;2 ;;;1;2; ;0;12091975;D;001936;001;1978;25031998;1000842;;;;;;;427756;;2196467;
M113;;66802;P;663153;F;1 ;;;0;0; ;0;03021995;A;000285;001;1995;03021995;1000224;;;;;;;210384;;1119517;
M113;;66802;P;663154;F;1 ;;;0;0; ;0;03021995;A;000285;001;1995;03021995;1000224;;;;;;;210384;;1119516;
M113;;72330;P;661275;F;2 ;;;1;2; ;0;27031986;A;001060;001;1986;22091993;1000070;;;;;;;82053;;773225;
M113;;72333;P;660980;F;1 ;;;0;0; ;0;16031999;V;000505;001;1999;16031999;1000484;;;;;;;473578;;2451125;
M113;;75943;P;661688;F;1 ;;;1000;1000; ;0;01010001;I;  0000;000;2000;01011992;0000112;;;;;;;220;;595876;
M113;;76944;P;663030;F;1 ;;;0;0; ;0;01010001;I;  0000;000;2000;01011992;0000547;;;;;;;220;;596844;
M113;;76944;P;663029;F;1 ;;;0;0; ;0;01010001;I;  0000;000;2000;01011992;0000547;;;;;;;220;;596809;
M113;;76944;P;680113;F;1 ;;;0;0; ;;03062002;A;001594;001;2002;03062002;;;;;;;;604070;;3588811;
