CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;Rendita-lire;Rendita-euro;ValoreImis;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;Piano5;Piano6;Piano7;Piano8;Piano9;Piano10;Piano11;Piano12;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione_ita;Annotazione_ted;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica
L322;;626712;F;2;1;;A04;1;2,5;53;162500;83,92;14098,56;;;;;;T;1;2;;;;;;;;;;31051988;27102000;V;2106;1;1988;;;;;;;160;547060;;200003389;;
L322;;626713;F;1;1;;A03;2;10,5;211;756000;390,44;65593,92;;;;;;S1;T;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;141;201;;0;;
L322;;626714;F;2;1;;A06;2;2;37;60000;30,99;5206,32;;;;;;S1;T;1;;;;;;;;;;23121999;15022000;D;381;2;2000;;;;;;;1000583;516970;;;;
L322;;626715;F;1;1;;A06;2;0,5;15;15000;7,75;1302;;;;;;1;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;302;201;;0;;
L322;;626716;F;1;1;;A06;2;1,5;26;45000;23,24;3904,32;;;;;;1;3;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;298;201;;0;;
L322;;626717;F;1;1;;A06;2;1,5;25;45000;23,24;3904,32;;;;;;1;3;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;299;201;;0;;
L322;;626718;F;2;1;;A06;2;1,5;29;45000;23,24;3904,32;;;;;;2;3;;;;;;;;;;;23121999;15022000;D;381;1;2000;;;;;;;1000582;516965;;;;
L322;;626719;F;2;1;;A06;2;3;58;90000;46,48;7808,64;;;;;;2;3;;;;;;;;;;;23102000;9042001;D;938;1;2001;;;;;;;1000640;563869;;;;
L322;;626720;F;4;1;;A04;4;4;62;300000;154,94;26029,92;;;;;;T;1;2;;;;;;;;;;12091990;18121992;D;2492;2;1990;;;;;;;1000018;20292;;0;;
L322;;626721;F;3;1;;A06;1;2,5;50;62500;32,28;5423,04;;;;;;T;;;;;;;;;;;;22081986;29041992;V;2224;1;1986;;;;;;;1000004;2246;;0;;
L322;;626722;F;3;1;;C06;1;18;20;50400;26,03;4373,04;;;;;;T;;;;;;;;;;;;22081986;29041992;V;2224;1;1986;;;;;;;1000004;2246;;0;;
L322;;626723;F;2;1;;A04;1;4;61;260000;134,28;22559,04;;;U;;;T;1;;;;;;;;;;;1011987;19051994;V;2527;A01;1987;;;;;;;210;142975;;0;;
L322;;626724;F;2;1;;A04;1;4;98;260000;134,28;22559,04;;;U;;;2;3;;;;;;;;;;;1011987;19051994;V;2527;A01;1987;;;;;;;210;142975;;0;;
L322;;626725;F;2;1;;C06;2;10;11;33000;17,04;2862,72;;;U;;;2;;;;;;;;;;;;1011987;19051994;V;2527;A01;1987;;;;;;;210;142975;;0;;
