CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;ComuneCatastale;Foglio;Numero;Denominatore;Subalterno;Edificialita;Pm1;Pm2;Pm3;Pm4;Pm5;Pm6;Pm7;Pm8;Pm9;Pm10;ComuneCatastale;Foglio;Numero;Denominatore;Subalterno;Edificialita;Pm1;Pm2;Pm3;Pm4;Pm5;Pm6;Pm7;Pm8;Pm9;Pm10;ComuneCatastale;Foglio;Numero;Denominatore;Subalterno;Edificialita;Pm1;Pm2;Pm3;Pm4;Pm5;Pm6;Pm7;Pm8;Pm9;Pm10;ComuneCatastale;Foglio;Subalterno;Edificialita;Pm1;Pm2;Pm3;Pm4;Pm5;Pm6;Pm7;Pm8;Pm9;Pm10;;;;;;;;;;;;;;;;;;;;;;;
L322;;626712;F;2;2;404;23;192;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626713;F;1;2;404;3;48;1;1;;;;;;;;;;;;404;3;48;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626714;F;2;2;404;3;48;1;2;;1;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626715;F;1;2;404;3;48;1;3;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626716;F;1;2;404;3;48;1;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626717;F;1;2;404;3;48;1;5;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626718;F;2;2;404;3;48;1;6;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626719;F;2;2;404;3;48;1;7;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626720;F;4;2;404;23;192;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L322;;626721;F;3;2;404;3;48;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
