CODICE AMMINISTRATIVO;SEZIONE;IDENTIFICATIVO SOGGETTO;TIPO SOGGETTO;IDENTIFICATIVO IMMOBILE;TIPO IMMOBILE;COMUNE CATASTALE;TIPO PARTICELLA;IDENTIFICATIVO PARTICELLA;PORZIONE MATERIALE;LINGUA;TESTO NON CODIFICATO;CODICE DIRITTO;TITOLO NON CODIFICATO ITA;TITOLO NON CODIFICATO TED;QUOTA NUMERATORE;QUOTA DENOMINATORE;REGIME;SOGGETTO DI RIFERIMENTO;DATA DI VALIDITA;TIPO NOTA;NUMERO NOTA;PROGRESSIVO NOTA;ANNO NOTA;DATA DI REGISTRAZIONE IN ATTI;PARTITA;DATA DI VALIDITA;TIPO NOTA;NUMERO NOTA;PROGRESSIVO NOTA;ANNO NOTA;DATA DI REGISTRAZIONE IN ATTI;IDENTIFICATIVO MUTAZIONE INIZIALE;IDENTIFICATIVO MUTAZIONE FINALE;IDENTIFICATIVO TITOLARITA
L322;;10000000;P;855287;F;404;1;296; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462157
L322;;10000000;P;855289;F;404;1;297/2; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462158
L322;;10000000;P;855300;F;404;1;306/2; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462159
L322;;10000000;P;994904;F;404;1;313/4;1;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462160
L322;;10000000;P;994905;F;404;1;313/4;2;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462161
L322;;10000000;P;994906;F;404;1;313/4;3;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462162
L322;;10000000;P;855324;F;404;1;334; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462163
L322;;10000000;P;855354;F;404;1;348/1; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462164
L322;;10000000;P;855357;F;404;1;350/2; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462165
L322;;10000000;P;855361;F;404;1;361; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462166
L322;;10000000;P;628234;F;404;1;413/2;3;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462167
L322;;10000000;P;628235;F;404;1;413/2;2;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462168
L322;;10000000;P;628236;F;404;1;413/2;2;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462169
L322;;10000000;P;628236;F;404;1;413/2;3;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462170
L322;;10000000;P;628237;F;404;1;413/2;1;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462171
L322;;10000000;P;1082633;F;404;1;435; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462172
L322;;10000000;P;1082637;F;404;1;435; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462173
L322;;10000000;P;978774;F;404;1;450/2;1;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462174
L322;;10000000;P;978774;F;404;1;450/2;2;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462175
L322;;10000000;P;978775;F;404;1;450/2;1;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462176
L322;;10000000;P;978776;F;404;1;450/2;2;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462177
L322;;10000000;P;627328;F;404;1;564;1;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462178
L322;;10000000;P;627440;F;404;1;622; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;15122016;V;5021;1;2016;10012017;10000000;1341726;11462179
L322;;10000000;P;627242;F;404;1;508; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11715375
L322;;10000000;P;626713;F;404;1;48/1; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462127
L322;;10000000;P;626841;F;404;1;66; ;;;0;;;0;0; ;;30092016;G;9999;0;2016;30092016;;;;;;;;10000000;;11462128
