CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;RenditaLire;RenditaEuro;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;DataDiEdifica;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121530;F;1;1; ;A04;2;2;;124000;64,04;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;252;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121531;F;1;1; ;A04;2;2,5;;155000;80,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121533;F;2;1; ;C06;3;29;;69600;35,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121534;F;2;1; ;A03;3;6;;438000;226,21;;;;;;T;;;;8071983;22021990;A;11750;1;1983;;;;;;;1805;;1145459;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121535;F;2;1; ;C06;2;76;;152000;78,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121538;F;3;1; ;D01;;;;460000;237,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121539;F;3;1; ;A03;3;5,5;;401500;207,36;;;;;;T;;;;3101991;3051999;V;5774;1;1991;;;;;;;2331;;1643641;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121540;F;3;1; ;A03;1;5;;265000;136,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121541;F;3;1; ;C06;3;55;;132000;68,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121543;F;2;1; ;A07;2;5,5;;605000;312,46;;;;;;T;;;;14031995;27031995;V;1913;1;1995;;;;;;;2557;;1421590;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121544;F;2;1; ;C06;2;69;;138000;71,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121545;F;3;1; ;C02;2;19;;38000;19,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121546;F;3;1; ;C02;2;19;;38000;19,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121547;F;2;1; ;C02;1;150;;255000;131,7;;;;;;S1;;;;14031995;27031995;V;1913;1;1995;;;;;;;2557;;1421590;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121550;F;3;1; ;A07;2;8,5;;935000;482,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121551;F;3;1; ;C06;2;29;;58000;29,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121552;F;3;1; ;C02;2;24;;48000;24,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121554;F;2;1; ;C02;3;50;;120000;61,98;;;;;;T;;;;23031992;23031992;V;6040;1;1992;;;;;;;1548;;1249155;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121555;F;1;1; ;C06;2;127;;254000;131,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121556;F;2;1; ;A03;4;6;;516000;266,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121558;F;1;1; ;A03;2;5;;310000;160,1;;;;;;T;;;;21101986;6051993;V;45663;;1986;;;;;;;1000653;;1337749;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121562;F;3;1; ;C02;1;55;;93500;48,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121566;F;3;1; ;A04;2;4,5;;279000;144,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121568;F;1;1; ;A03;1;6;;318000;164,23;;;;;;T;;;;23121988;27061994;D;1555;1;1989;;;;;;;1000950;;1391069;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121569;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121570;F;3;1; ;A05;2;2;;108000;55,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121571;F;1;1; ;A05;3;1;;63000;32,54;;;;;;T;;;;23121988;27061994;D;1555;1;1989;;;;;;;1000950;;1391069;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121572;F;1;1; ;A05;3;1;;63000;32,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121573;F;1;1; ;F01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121574;F;1;1; ;A03;4;8;;688000;355,32;;;;;;T;;;;31051991;27071992;V;3452;;1991;;;;;;;1001563;;1265185;;;;;;;;;;;;;;;;;;;;;;;;;;;;
