COD_TOPONIMO;DESCRIZIONE
0;
1;ALZATA
2;ANDRONA
4;ARCHIVOLTO
6;ARCO
8;ASCENSORE
10;ATRIO
12;BACINO
14;BAGLIO
16;BANCHINA
18;BASTIONI
20;BORGATA
22;BORGHETTO
24;BORGO
26;CALATA
28;CALLE
30;CALLESELLA
32;CAMPASSO
34;CAMPAZZO
36;CAMPIELLO
38;CAMPO
40;CASALE
42;CASE
44;CAVA
46;CAVALCAVIA
48;CHIASSO
50;CIRCONVALLAZIONE
52;CLIVIO
54;CONTRADA
56;CORSETTO
58;CORSO
60;CORTE
62;CORTICELLA
64;CORTILE
66;CUPA
68;DIRAMAZIONE
70;DISCESA
72;FONDACO
74;FONDAMENTA
76;FONDO
77;FRAZIONE
78;GALLERIA
80;GIARDINO
82;GRADINI
84;GRADONI
86;LARGO
88;LISTA
90;LOCALITA'
92;LOGGE
94;LUNGADIGE
96;LUNGARGINE
98;LUNGARNO
100;LUNGODORA
102;LUNGOMARE
106;LUNGOPO
108;LUNGOSTURA
110;LUNGOTEVERE
112;MASSERIA
114;MERCATO
116;MOLO
118;MULATTIERA
120;MURA
122;PARCO
124;PASSAGGIO
126;PASSEGGIATA
128;PASSETTO
130;PIAZZA
132;PIAZZALE
134;PIAZZETTA
136;PISCINA
138;PONTE
140;PONTILE
142;PORTA
144;PORTICO
146;PORTO
148;PROLUNGAMENTO
150;QUARTIERE
152;RAMI
154;RAMO
156;RAMPA
158;RAMPE
160;RECINTO
162;RIONE
164;RIVA
166;RIVIERA
168;ROTONDA
170;RUA
172;SALITA
174;SL
176;SALIZZATA
178;SCALA
180;SCALE
182;SCALEA
184;SCALETTA
186;SCALETTE
188;SCALI
190;SCALINATA
192;SCALONE
194;SDRUCCIOLO
196;SENTIERO
198;SESTRIERI
200;SITO
202;SOBBORGO
204;SOTTOPORTICO
206;SOTTOVIA
208;SPIANATA
210;STRADA
212;STRADALE
214;STRADELLA
216;STRADONE
218;SUPPORTICO
220;SVINCOLO
222;TRATTO
224;TRAVERSA
226;TRAVERSA VIA
228;TRESANDA
230;TRONCO
232;VALLONE
234;VARCO
236;VIA
238;VIADOTTO
240;VIALE
242;VIALETTO
244;VICO
246;VICOLETTO
248;VICOLO
250;VILLAGGIO
252;VIOTTOLO
254;VIUZZO
256;VO
258;VOLTA
260;PASSO
262;FORO
264;RIPA
266;RACCORDO
268;ALZAIA
271;LUNGOISARCO
272;LUNGOTALVERA
273;MASO
300;ACCESSO
301;ACCESSO A CORSO
302;ACCESSO ALLA PIAZZA
303;ACCESSO ALLA VIA
304;ACCESSO VIALE
305;ACCESSO PRIVATO
306;ACCESSO STRADA
307;ACCESSO TRAVERSA
308;ALLEE
309;ALVEO
310;ANDRONE
311;ANGIPORTO
312;ARGINE
313;ARGINE DESTRO
314;ARGINE DI CANALE
315;ARGINE SINISTRO
316;AUTOSTRADA
317;AVENUE
318;BALUARDO
319;BARRIERA
320;BASTIONE
321;BASTIONI DI PORTA
322;BATTERIA
323;BISAGNO
324;BOCCA
325;BOULEVARD
326;CA'
327;CALA
328;CALETTA
329;CALLE DESTRA
330;CALLE LARGA
331;CALLE LITORANEA
332;CALLE SINISTRA
333;CALLE STRETTA
334;CALLESELLA DESTRA
335;CALLESELLA LARGA
336;CALLESELLA SINISTRA
337;CALLESELLE
338;CALLESELLE LARGHE
339;CALLESELLE STRETTE
340;CANALE
341;CANALE LARGO
342;CANTO
343;CANTONE
344;CAPO
